ticker,time,open,close,high,low,volume
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1617665830
VNINDEX,2025-04-14,1235.01,1241.44,1242.94,1226.06,913684312
VNINDEX,2025-04-15,1232.64,1227.79,1246.21,1221.75,939049220
VNINDEX,2025-04-16,1225.29,1210.3,1233.84,1205.93,713035992
VNINDEX,2025-04-17,1201.63,1217.25,1217.25,1197.5,657997453
VNINDEX,2025-04-18,1228.37,1219.12,1234.67,1219.12,977508165
DRC,2025-04-04,23.1,23.1,23.1,23.1,372810
DRC,2025-04-08,21.5,21.5,21.5,21.5,240676
DRC,2025-04-09,20.0,20.0,20.0,20.0,484936
DRC,2025-04-10,21.4,21.4,21.4,21.4,309030
DRC,2025-04-11,22.85,21.35,22.85,20.2,1606441
DRC,2025-04-14,21.45,21.3,21.85,21.2,818902
DRC,2025-04-15,21.05,20.6,21.65,20.35,831128
DRC,2025-04-16,20.45,19.5,20.6,19.4,974964
DRC,2025-04-17,18.6,19.05,19.4,18.6,1208838
DRC,2025-04-18,19.45,19.6,19.8,19.15,629527
HHS,2025-04-04,9.68,10.5,10.5,9.68,14372920
HHS,2025-04-08,9.95,9.77,10.3,9.77,2770661
HHS,2025-04-09,9.09,9.09,9.32,9.09,7228319
HHS,2025-04-10,9.72,9.72,9.72,9.72,192766
HHS,2025-04-11,10.35,10.4,10.4,9.72,12961267
HHS,2025-04-14,10.55,10.9,10.95,10.35,5319492
HHS,2025-04-15,10.9,10.5,11.0,10.2,5844943
HHS,2025-04-16,10.5,10.5,10.7,10.1,5420935
HHS,2025-04-17,10.4,11.15,11.2,10.4,9983202
HHS,2025-04-18,11.4,11.0,11.5,11.0,5484415
CTF,2025-04-04,18.55,19.9,19.9,17.5,191017
CTF,2025-04-08,19.5,19.0,19.5,18.6,147397
CTF,2025-04-09,18.5,18.9,19.0,17.8,304075
CTF,2025-04-10,19.5,19.75,20.1,19.4,217012
CTF,2025-04-11,20.0,20.5,21.0,19.45,509699
CTF,2025-04-14,20.5,20.6,20.85,20.0,358922
CTF,2025-04-15,21.4,20.6,21.4,20.0,235421
CTF,2025-04-16,20.55,20.5,20.6,20.05,286158
CTF,2025-04-17,20.4,20.4,20.4,20.1,292221
CTF,2025-04-18,20.45,20.5,20.6,20.15,297537
SVC,2025-04-04,20.3,20.3,20.3,20.3,38
SVC,2025-04-08,18.9,18.9,18.9,18.9,1282
SVC,2025-04-09,19.75,19.75,19.75,19.75,104
SVC,2025-04-10,19.75,20.35,20.4,19.75,5834
SVC,2025-04-11,20.7,20.7,20.7,20.7,100
SVC,2025-04-14,19.6,19.95,20.45,19.35,7281
SVC,2025-04-15,20.3,19.95,20.3,19.95,1100
SVC,2025-04-16,19.9,19.9,19.9,19.9,406
SVC,2025-04-17,19.9,19.9,19.9,19.9,3
SVC,2025-04-18,19.9,19.9,19.9,19.9,0
CSM,2025-04-04,11.9,11.9,11.9,11.9,643347
CSM,2025-04-08,11.1,11.1,11.1,11.1,83889
CSM,2025-04-09,10.35,10.35,10.35,10.35,357940
CSM,2025-04-10,11.05,11.05,11.05,11.05,171830
CSM,2025-04-11,11.8,11.3,11.8,10.8,1591427
CSM,2025-04-14,11.4,11.3,11.8,11.25,666828
CSM,2025-04-15,11.3,10.8,11.45,10.75,705846
CSM,2025-04-16,10.8,10.8,11.05,10.65,479148
CSM,2025-04-17,10.85,10.8,10.95,10.6,378442
CSM,2025-04-18,10.9,10.95,11.2,10.75,801385
HAX,2025-04-04,13.9,14.05,14.6,13.75,1398612
HAX,2025-04-08,13.9,13.35,13.9,13.2,1563695
HAX,2025-04-09,12.6,13.35,14.25,12.6,689788
HAX,2025-04-10,14.25,14.25,14.25,14.25,191882
HAX,2025-04-11,14.7,14.6,14.7,14.05,605047
HAX,2025-04-14,14.8,14.6,14.8,14.5,405602
HAX,2025-04-15,14.6,14.6,14.7,14.35,305858
HAX,2025-04-16,14.55,14.4,14.6,14.2,305781
HAX,2025-04-17,14.4,14.9,14.9,14.3,284860
HAX,2025-04-18,15.0,15.05,15.2,14.8,279322
